,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
102,"ANDREEVA, Sofya",1998,RUS,2:26.58,34.20,37.09,37.54,1
103,"LECLUYSE, Fanny",1992,BEL,2:27.16,33.27,37.69,37.81,1
104,"MORAVCIKOVA, Martina",1988,CZE,2:27.51,33.73,37.41,37.63,1
105,"SEBESTYEN, Dalma",1997,HUN,2:27.94,33.87,37.41,38.51,1
106,"SZTANKOVICS, Anna",1996,HUN,2:27.97,33.92,37.26,38.00,1
107,"SEBASTIAN, Julia",1993,ARG,2:27.98,33.53,37.47,38.20,1
108,"BOHL, Georgia",1997,AUS,2:28.24,32.77,37.60,38.23,1
109,"MCCABE, Martha",1989,CAN,2:28.62,33.97,37.25,38.44,1
110,"YU, Jingyao",1999,CHN,2:28.65,33.52,37.52,38.51,1
111,"DOYLE, Fiona",1991,IRL,2:29.76,33.03,37.58,38.46,1
112,"HANSSON, Sophie",1998,SWE,2:30.59,34.22,38.14,38.51,1
113,"RIBAKOVA, Alona",1991,LAT,2:30.82,34.02,37.84,38.81,1
114,"IVRI, Amit",1989,ISR,2:31.49,34.16,38.07,39.03,1
115,"BACK, Su Yeon",1991,KOR,2:32.79,33.58,37.77,39.70,1
