,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
85,"SMITH, Clark",1995,USA,1:47.20,25.08,27.08,27.89,0
86,"SMITH, Daniel",1991,AUS,1:47.55,24.76,26.92,27.73,0
87,"LIE, Anders",1991,DEN,1:47.62,25.49,27.77,27.01,0
88,"D'ARRIGO, Andrea Mitchell",1995,ITA,1:47.65,25.78,27.17,27.34,0
89,"DREESENS, Dion",1993,NED,1:47.86,25.39,26.90,27.76,0
90,"SWITKOWSKI, Jan",1994,POL,1:47.95,25.53,27.57,27.25,0
91,"ALTAMIR LOPES MELO, Luiz",1996,BRA,1:48.19,25.09,27.39,27.75,0
92,"CROENEN, Louis",1994,BEL,1:48.35,25.52,27.63,27.40,0
93,"MARTIN, Victor M.",1993,ESP,1:48.74,25.13,27.60,27.83,0
94,"LEDECKY, Kathleen",1997,USA,1:53.73,27.00,28.43,29.12,1
95,"SJOESTROEM, Sarah",1993,SWE,1:54.08,26.84,29.02,29.09,1
96,"MCKEON, Emma",1994,AUS,1:54.92,26.64,28.73,29.80,1
97,"PELLEGRINI, Federica",1988,ITA,1:55.18,27.09,29.36,29.39,1
98,"BARRATT, Bronte",1989,AUS,1:55.25,27.35,29.05,29.62,1
99,"SHEN, Duo",1997,CHN,1:55.25,27.07,28.83,29.77,1
100,"COLEMAN, Michelle",1993,SWE,1:56.27,26.82,29.33,29.80,1
101,"BONNET, Charlotte",1995,FRA,1:56.29,26.95,29.48,29.85,1
102,"SJOESTROEM, Sarah",1993,SWE,1:54.65,27.07,29.16,29.42,1
103,"LEDECKY, Kathleen",1997,USA,1:54.81,27.20,29.01,29.57,1
104,"PELLEGRINI, Federica",1988,ITA,1:55.42,26.98,29.27,29.51,1
105,"SHEN, Duo",1997,CHN,1:56.03,27.00,29.81,29.55,1
106,"COLEMAN, Michelle",1993,SWE,1:56.05,27.17,29.30,29.85,1
107,"MCKEON, Emma",1994,AUS,1:56.29,26.94,29.60,29.95,1
108,"BONNET, Charlotte",1995,FRA,1:56.38,27.04,29.38,30.15,1
109,"BARRATT, Bronte",1989,AUS,1:56.63,27.02,29.59,29.80,1
110,"ANDRUSENKO, Veronika",1991,RUS,1:57.22,27.52,29.19,30.22,1
111,"MACLEAN, Brittany",1994,CAN,1:57.36,27.82,29.37,30.60,1
112,"AI, Yanhan",2002,CHN,1:57.41,27.26,29.42,30.45,1
113,"LYRIO, Manuella",1989,BRA,1:57.43,27.39,29.69,29.79,1
114,"HAUGHEY, Siobhan",1997,HKG,1:57.56,27.27,29.81,30.11,1
115,"FRANKLIN, Melissa",1995,USA,1:57.56,27.57,29.25,30.82,1
116,"SAVARD, Katerine",1993,CAN,1:57.80,27.30,30.06,30.00,1
117,"HEEMSKERK, Femke",1987,NED,1:57.82,27.59,29.50,30.43,1
118,"LEDECKY, Kathleen",1997,USA,1:55.01,27.12,28.98,29.39,1
119,"MCKEON, Emma",1994,AUS,1:55.80,27.04,29.27,29.88,1
120,"SJOESTROEM, Sarah",1993,SWE,1:56.11,26.97,29.23,29.58,1
121,"BONNET, Charlotte",1995,FRA,1:56.26,27.47,28.93,30.07,1
122,"PELLEGRINI, Federica",1988,ITA,1:56.37,27.45,29.81,29.82,1
123,"SHEN, Duo",1997,CHN,1:56.52,27.05,29.78,29.81,1
124,"COLEMAN, Michelle",1993,SWE,1:56.54,27.15,29.63,29.75,1
125,"AI, Yanhan",2002,CHN,1:56.77,27.19,29.32,30.04,1
126,"HAUGHEY, Siobhan",1997,HKG,1:56.91,27.18,29.42,30.22,1
127,"BARRATT, Bronte",1989,AUS,1:56.93,27.93,29.66,29.90,1
128,"ANDRUSENKO, Veronika",1991,RUS,1:57.08,27.24,29.92,29.66,1
129,"FRANKLIN, Melissa",1995,USA,1:57.12,27.70,29.66,29.93,1
130,"SAVARD, Katerine",1993,CAN,1:57.15,27.28,29.44,29.99,1
131,"LYRIO, Manuella",1989,BRA,1:57.28,27.80,28.91,30.16,1
132,"HEEMSKERK, Femke",1987,NED,1:57.68,27.68,29.68,30.10,1
133,"MACLEAN, Brittany",1994,CAN,1:57.74,27.30,30.01,30.08,1
134,"IGARASHI, Chihiro",1995,JPN,1:57.88,27.47,30.33,30.02,1
135,"OPENYSHEVA, Arina",1999,RUS,1:58.05,28.38,29.51,30.48,1
136,"COSTA SCHMID, Melanie",1989,ESP,1:58.19,28.06,30.35,29.47,1
137,"BRUHN, Annika",1992,GER,1:58.48,28.13,29.33,30.64,1
138,"IKEE, Rikako",2000,JPN,1:58.49,28.08,29.91,30.29,1
139,"RANGELOVA, Nina",1990,BUL,1:58.57,27.64,30.32,29.83,1
140,"BALMY, Coralie",1987,FRA,1:58.83,27.88,30.49,30.31,1
141,"MIZZAU, Alice",1993,ITA,1:59.16,27.83,30.27,30.18,1
142,"KESELY, Ajna",2001,HUN,1:59.20,28.02,29.61,30.67,1
143,"NEUMANN, Robin",1997,NED,1:59.23,27.77,30.41,30.50,1
144,"COATES, Georgia",1999,GBR,1:59.33,28.04,30.03,30.32,1
145,"VERRASZTO, Evelyn",1989,HUN,1:59.44,27.93,30.44,30.50,1
146,"CHENG, Camille Lily Mei",1993,HKG,1:59.71,27.63,29.76,30.54,1
147,"SIMONOVIC, Katarina",1994,SRB,2:00.06,28.04,30.16,30.79,1
148,"SEEMANOVA, Barbora",2000,CZE,2:00.26,28.00,30.71,31.05,1
149,"FAULKNER, Eleanor",1993,GBR,2:00.51,28.30,30.28,31.22,1
150,"BOGDANOVSKI, Anastasia",1993,MKD,2:00.52,28.48,30.24,30.78,1
151,"CASTRO ORTEGA, Patricia",1992,ESP,2:00.71,27.86,30.21,30.71,1
152,"OLIVEIRA, Larissa Martins",1993,BRA,2:00.76,27.85,29.69,30.91,1
153,"GAMEZ MATOS, Elisbet",1997,CUB,2:01.08,29.30,30.47,30.94,1
154,"EVANS, Joanna L",1997,BAH,2:01.27,28.57,30.66,31.05,1
155,"PASTRANA, Sara",1999,HON,2:03.19,28.25,31.70,31.34,1
156,"CEDRON, Andrea",1993,PER,2:05.33,29.70,31.36,32.20,1
157,"BUADROMO, Matelita",1996,FIJ,2:05.49,29.28,31.75,32.13,1
158,"KATARIA, Shivani",1997,IND,2:09.30,29.15,32.21,33.59,1
159,"FORSON, Kaya Adwoa",2002,GHA,2:16.02,30.61,34.59,35.40,1
160,"COLEMAN, Michelle",1993,SWE,1:56.20,27.04,29.25,29.93,1
161,"SCHMITT, Allison",1990,USA,1:56.21,27.83,29.05,29.42,1
162,"SHEN, Duo",1997,CHN,1:56.30,27.06,29.96,29.47,1
163,"ANDRUSENKO, Veronika",1991,RUS,1:57.52,27.58,29.74,30.13,1
164,"IGARASHI, Chihiro",1995,JPN,1:57.85,27.25,30.06,30.46,1
165,"SAVARD, Katerine",1993,CAN,1:57.91,27.48,29.70,30.37,1
166,"NEALE, Leah",1995,AUS,1:57.95,27.71,29.43,30.13,1
167,"JAKABOS, Zsuzsanna",1989,HUN,1:58.90,27.17,30.08,30.43,1
168,"SCHMITT, Allison",1990,USA,1:55.95,27.34,28.52,29.63,1
169,"NEALE, Leah",1995,AUS,1:57.06,27.56,29.81,29.74,1
170,"IGARASHI, Chihiro",1995,JPN,1:57.18,27.44,29.68,30.33,1
171,"AI, Yanhan",2002,CHN,1:57.20,27.65,29.54,29.96,1
172,"BALMY, Coralie",1987,FRA,1:57.38,27.71,29.80,29.94,1
173,"O'CONNOR, Siobhan-Marie",1995,GBR,1:57.47,27.56,29.51,29.83,1
174,"BELIAKOVA (ANDREEVA), Viktoriya",1992,RUS,1:57.82,27.33,29.77,30.17,1
175,"SAVARD, Katerine",1993,CAN,1:57.96,27.72,29.56,30.28,1
176,"LYRIO, Manuella",1989,BRA,1:58.39,27.87,29.77,30.41,1
177,"VERRASZTO, Evelyn",1989,HUN,1:58.81,27.93,29.90,30.74,1
178,"BRUHN, Annika",1992,GER,1:59.28,27.90,30.32,30.26,1
179,"MIZZAU, Alice",1993,ITA,1:59.74,28.10,29.79,30.63,1
180,"SEGEL, Janja",2001,SLO,1:59.81,27.87,30.11,30.88,1
181,"COSTA SCHMID, Melanie",1989,ESP,2:00.02,28.00,29.70,30.88,1
182,"HANSSON, Louise",1996,SWE,2:00.07,27.94,29.70,31.12,1
183,"STEENBERGEN, Marrit",2000,NED,2:00.80,27.58,30.42,30.86,1
