,Name,Date Of Birth,Country,Number_100m,Number_50m
99,"SHKURDAI, Anastasiya",2003,BLR,1:02.68,30.58
100,"PESSANHA, Maria Luiza",2000,BRA,1:02.89,30.67
101,"ILYES, Laura Vanda",2001,HUN,1:02.97,30.37
102,"VENTER, Mariella G",2000,RSA,1:03.15,30.64
103,"SALCUTAN, Tatiana",2001,MDA,1:03.16,31.15
104,"GOEIJ, Fernanda",2000,BRA,1:03.30,30.60
105,"GARCIA KIRICHENKO, Cristina",2001,ESP,1:03.54,31.14
106,"TOUILI, Lila",2000,FRA,1:03.63,29.97
107,"BAIKOVA, Arina",2000,LAT,1:04.01,31.18
108,"NAZAROVA, Diana",2000,KAZ,1:04.10,30.92
109,"CHEN, Szu-chi",2002,TPE,1:04.17,31.35
110,"KOLESNYKOVA, Maryna",2000,UKR,1:04.27,30.96
111,"HURTADO, Andrea",2000,PER,1:04.67,31.04
112,"SULENTA, Lucija",2001,CRO,1:05.82,31.08
113,"KAN, Cheuk Tung Natalie",2002,HKG,1:06.20,32.09
114,"SANSORES, Tayde",2000,MEX,1:06.58,31.25
115,"KRSTEVSKA, Mia",2001,MKD,1:08.85,32.85
116,"MCKEOWN, Kaylee",2001,AUS,1:01.61,30.22
117,"PENG, Xuwei",2003,CHN,1:01.64,30.17
118,"WHITE, Rhyan E",2000,USA,1:01.66,29.98
119,"BROAD, Madison",2000,CAN,1:02.26,29.99
120,"GOEIJ, Fernanda",2000,BRA,1:02.26,30.50
121,"VASKINA, Daria",2002,RUS,1:02.74,30.56
122,"VENTER, Mariella G",2000,RSA,1:04.12,30.94
