,Name,Date Of Birth,Country,Number_100m,Number_50m
115,"FESIKOVA, Anastasia",1990,RUS,1:00.33,29.28
116,"WAARD de, Maaike",1996,NED,1:00.64,29.16
117,"DAWSON, Kathleen",1997,GBR,58.44,28.55
118,"TOUSSAINT, Kira",1994,NED,58.73,28.43
119,"KAMENEVA, Maria",1999,RUS,59.30,29.37
120,"PANZIERA, Margherita",1995,ITA,59.53,29.13
121,"WILD, Cassie",2000,GBR,59.75,29.05
122,"WAARD de, Maaike",1996,NED,59.76,28.90
123,"GORBENKO, Anastasya",2003,ISR,59.78,29.01
124,"FESIKOVA, Anastasia",1990,RUS,1:00.00,29.46
125,"HANSSON, Louise",1996,SWE,1:00.04,29.18
126,"BURIAN, Katalin",1995,HUN,1:00.18,29.27
127,"LOEYNING, Ingeborg Vassbakk",2000,NOR,1:00.23,29.56
128,"KOST, Nina",1995,SUI,1:00.35,28.89
129,"KUBOVA (BAUMRTOVA), Simona",1991,CZE,1:00.43,29.62
130,"SHKURDAI, Anastasiya",2003,BLR,1:00.52,29.31
131,"PEDA, Paulina",1998,POL,1:00.59,29.72
132,"JALLOW, Mimosa",1994,FIN,1:00.82,29.04
133,"JALLOW, Mimosa",1994,FIN,1:00.31,28.85
134,"ZAMORANO SANZ, Africa",1998,ESP,1:01.16,29.88
135,"DAWSON, Kathleen",1997,GBR,59.32,29.35
136,"TOUSSAINT, Kira",1994,NED,59.57,29.15
137,"KAMENEVA, Maria",1999,RUS,59.74,29.36
138,"PANZIERA, Margherita",1995,ITA,59.94,29.42
139,"GORBENKO, Anastasya",2003,ISR,59.96,29.17
140,"WILD, Cassie",2000,GBR,1:00.09,29.61
141,"HANSSON, Louise",1996,SWE,1:00.17,29.10
142,"WAARD de, Maaike",1996,NED,1:00.23,29.13
143,"FESIKOVA, Anastasia",1990,RUS,1:00.44,29.51
144,"BURIAN, Katalin",1995,HUN,1:00.46,29.48
145,"SHKURDAI, Anastasiya",2003,BLR,1:00.54,29.22
146,"KUBOVA (BAUMRTOVA), Simona",1991,CZE,1:00.56,29.55
147,"LOEYNING, Ingeborg Vassbakk",2000,NOR,1:00.71,29.32
148,"PEDA, Paulina",1998,POL,1:00.82,29.54
149,"KOST, Nina",1995,SUI,1:01.05,29.15
150,"ZAMORANO SANZ, Africa",1998,ESP,1:01.11,29.79
151,"JALLOW, Mimosa",1994,FIN,1:01.11,29.22
152,"SCALIA, Silvia",1995,ITA,1:01.12,29.25
153,"AVRAMOVA, Ekaterina",1991,TUR,1:01.30,29.89
