,Name,Date Of Birth,Country,Number_100m,Number_50m
163,"OEZKAN, Hazal",2003,TUR,1:10.44,33.01
164,"BLAZEVIC, Ana",2003,CRO,1:10.57,33.49
165,"POLONSKY, Lea",2002,ISR,1:10.60,32.87
166,"DRASIDOU, Maria-Thaleia",1995,GRE,1:10.80,32.91
167,"SISOJEVA, Arina",2002,LAT,1:10.91,32.52
168,"LAHTINEN, Laura",2003,FIN,1:10.93,33.25
169,"KALMAR, Aliz",2002,HUN,1:10.95,33.41
170,"VADOVICOVA, Nina",2003,SVK,1:10.97,33.30
171,"TRNIKOVA, Nikoleta",2002,SVK,1:11.14,33.51
172,"HERKLE, Kim Emely",2003,GER,1:11.57,33.53
173,"VERMEIREN, Fleur",2002,BEL,1:11.84,32.84
174,"TUDO, Nadia",1997,AND,1:14.41,33.94
175,"TKACHENKO, Alina",2005,UKR,1:11.14,32.84
