,Name,Date Of Birth,Country,Number_100m,Number_50m
123,"IVRI, Amit",1989,ISR,1:09.42,32.71
124,"ROMANJUK, Maria",1996,EST,1:09.49,32.69
125,"KONG, Yvette",1993,HKG,1:09.56,32.04
126,"PHEE, Phee Jinq En",1997,MAS,1:10.22,32.69
127,"TALANOVA, Daria",1995,KGZ,1:10.94,33.74
128,"VOZEL, Tjasa",1994,SLO,1:11.15,33.21
129,"CHISCA, Tatiana",1995,MDA,1:11.37,32.56
130,"LETER, Evita",1995,SUR,1:14.96,33.05
131,"SHIMIZU, Pilar",1996,GUM,1:16.65,34.52
132,"JOACHIM, Izzy S",2000,VIN,1:17.37,35.10
133,"LUNKUSE, Jamila",1997,UGA,1:19.64,36.82
134,"SEMYONOVA, Darya",2002,TKM,1:19.84,36.12
135,"TONJOR, Rechael",1991,NGR,1:21.43,36.41
136,"BOSTASHVILI, Teona",1998,GEO,1:22.91,37.92
137,"HAGUL, Daniah",1999,LBA,1:25.47,40.06
